sample_identifier,instr,playing_mode,sounding_note,midi_sounding,dyn,string,acoustic_density,density_unit,filename
lab_violin_G3_pp,Violin,normale,G3,,pianissimo,,57.391507,dimensionless,violin_ordinary_cdm.json
lab_violin_G3_mf,Violin,normale,G3,,mezzo-forte,,61.65907,dimensionless,violin_ordinary_cdm.json
lab_violin_G3_ff,Violin,normale,G3,,fortissimo,,70.623528,dimensionless,violin_ordinary_cdm.json
lab_violin_G#3_pp,Violin,normale,G#3,,pianissimo,,33.591535,dimensionless,violin_ordinary_cdm.json
lab_violin_G#3_mf,Violin,normale,G#3,,mezzo-forte,,36.008517,dimensionless,violin_ordinary_cdm.json
lab_violin_G#3_ff,Violin,normale,G#3,,fortissimo,,38.554306,dimensionless,violin_ordinary_cdm.json
lab_violin_A3_pp,Violin,normale,A3,,pianissimo,,30.702267,dimensionless,violin_ordinary_cdm.json
lab_violin_A3_mf,Violin,normale,A3,,mezzo-forte,,29.143841,dimensionless,violin_ordinary_cdm.json
lab_violin_A3_ff,Violin,normale,A3,,fortissimo,,42.287864,dimensionless,violin_ordinary_cdm.json
lab_violin_A#3_pp,Violin,normale,A#3,,pianissimo,,28.838925,dimensionless,violin_ordinary_cdm.json
lab_violin_A#3_mf,Violin,normale,A#3,,mezzo-forte,,32.194271,dimensionless,violin_ordinary_cdm.json
lab_violin_A#3_ff,Violin,normale,A#3,,fortissimo,,38.719126,dimensionless,violin_ordinary_cdm.json
lab_violin_B3_pp,Violin,normale,B3,,pianissimo,,39.784207,dimensionless,violin_ordinary_cdm.json
lab_violin_B3_mf,Violin,normale,B3,,mezzo-forte,,39.101102,dimensionless,violin_ordinary_cdm.json
lab_violin_B3_ff,Violin,normale,B3,,fortissimo,,35.503268,dimensionless,violin_ordinary_cdm.json
lab_violin_C4_pp,Violin,normale,C4,,pianissimo,,27.340394,dimensionless,violin_ordinary_cdm.json
lab_violin_C4_mf,Violin,normale,C4,,mezzo-forte,,23.374901,dimensionless,violin_ordinary_cdm.json
lab_violin_C4_ff,Violin,normale,C4,,fortissimo,,27.795461,dimensionless,violin_ordinary_cdm.json
lab_violin_C#4_pp,Violin,normale,C#4,,pianissimo,,25.052836,dimensionless,violin_ordinary_cdm.json
lab_violin_C#4_mf,Violin,normale,C#4,,mezzo-forte,,22.127835,dimensionless,violin_ordinary_cdm.json
lab_violin_C#4_ff,Violin,normale,C#4,,fortissimo,,25.8856,dimensionless,violin_ordinary_cdm.json
lab_violin_D4_pp,Violin,normale,D4,,pianissimo,,26.133791,dimensionless,violin_ordinary_cdm.json
lab_violin_D4_mf,Violin,normale,D4,,mezzo-forte,,34.381636,dimensionless,violin_ordinary_cdm.json
lab_violin_D4_ff,Violin,normale,D4,,fortissimo,,36.879891,dimensionless,violin_ordinary_cdm.json
lab_violin_D#4_pp,Violin,normale,D#4,,pianissimo,,26.560277,dimensionless,violin_ordinary_cdm.json
lab_violin_D#4_mf,Violin,normale,D#4,,mezzo-forte,,32.386338,dimensionless,violin_ordinary_cdm.json
lab_violin_D#4_ff,Violin,normale,D#4,,fortissimo,,30.695905,dimensionless,violin_ordinary_cdm.json
lab_violin_E4_pp,Violin,normale,E4,,pianissimo,,31.15438,dimensionless,violin_ordinary_cdm.json
lab_violin_E4_mf,Violin,normale,E4,,mezzo-forte,,35.982938,dimensionless,violin_ordinary_cdm.json
lab_violin_E4_ff,Violin,normale,E4,,fortissimo,,34.793031,dimensionless,violin_ordinary_cdm.json
lab_violin_F4_pp,Violin,normale,F4,,pianissimo,,26.177892,dimensionless,violin_ordinary_cdm.json
lab_violin_F4_mf,Violin,normale,F4,,mezzo-forte,,26.256405,dimensionless,violin_ordinary_cdm.json
lab_violin_F4_ff,Violin,normale,F4,,fortissimo,,31.173848,dimensionless,violin_ordinary_cdm.json
lab_violin_F#4_pp,Violin,normale,F#4,,pianissimo,,26.192578,dimensionless,violin_ordinary_cdm.json
lab_violin_F#4_mf,Violin,normale,F#4,,mezzo-forte,,29.118582,dimensionless,violin_ordinary_cdm.json
lab_violin_F#4_ff,Violin,normale,F#4,,fortissimo,,28.988298,dimensionless,violin_ordinary_cdm.json
lab_violin_G4_pp,Violin,normale,G4,,pianissimo,,26.244,dimensionless,violin_ordinary_cdm.json
lab_violin_G4_mf,Violin,normale,G4,,mezzo-forte,,28.582867,dimensionless,violin_ordinary_cdm.json
lab_violin_G4_ff,Violin,normale,G4,,fortissimo,,29.160595,dimensionless,violin_ordinary_cdm.json
lab_violin_G#4_pp,Violin,normale,G#4,,pianissimo,,21.367527,dimensionless,violin_ordinary_cdm.json
lab_violin_G#4_mf,Violin,normale,G#4,,mezzo-forte,,20.040854,dimensionless,violin_ordinary_cdm.json
lab_violin_G#4_ff,Violin,normale,G#4,,fortissimo,,24.983277,dimensionless,violin_ordinary_cdm.json
lab_violin_A4_pp,Violin,normale,A4,,pianissimo,,27.47028,dimensionless,violin_ordinary_cdm.json
lab_violin_A4_mf,Violin,normale,A4,,mezzo-forte,,23.809207,dimensionless,violin_ordinary_cdm.json
lab_violin_A4_ff,Violin,normale,A4,,fortissimo,,30.79765,dimensionless,violin_ordinary_cdm.json
lab_violin_A#4_pp,Violin,normale,A#4,,pianissimo,,22.652636,dimensionless,violin_ordinary_cdm.json
lab_violin_A#4_mf,Violin,normale,A#4,,mezzo-forte,,20.433399,dimensionless,violin_ordinary_cdm.json
lab_violin_A#4_ff,Violin,normale,A#4,,fortissimo,,26.037132,dimensionless,violin_ordinary_cdm.json
lab_cello_C2_pp,Cello,normale,C2,,pianissimo,,85.211722,dimensionless,cello_ordinary_cdm.json
lab_cello_C2_mf,Cello,normale,C2,,mezzo-forte,,94.121938,dimensionless,cello_ordinary_cdm.json
lab_cello_C2_ff,Cello,normale,C2,,fortissimo,,94.363449,dimensionless,cello_ordinary_cdm.json
lab_cello_C#2_pp,Cello,normale,C#2,,pianissimo,,55.096953,dimensionless,cello_ordinary_cdm.json
lab_cello_C#2_mf,Cello,normale,C#2,,mezzo-forte,,50.842621,dimensionless,cello_ordinary_cdm.json
lab_cello_C#2_ff,Cello,normale,C#2,,fortissimo,,47.408278,dimensionless,cello_ordinary_cdm.json
lab_cello_D2_pp,Cello,normale,D2,,pianissimo,,55.891434,dimensionless,cello_ordinary_cdm.json
lab_cello_D2_mf,Cello,normale,D2,,mezzo-forte,,76.641317,dimensionless,cello_ordinary_cdm.json
lab_cello_D2_ff,Cello,normale,D2,,fortissimo,,58.979722,dimensionless,cello_ordinary_cdm.json
lab_cello_D#2_pp,Cello,normale,D#2,,pianissimo,,59.007753,dimensionless,cello_ordinary_cdm.json
lab_cello_D#2_mf,Cello,normale,D#2,,mezzo-forte,,60.545674,dimensionless,cello_ordinary_cdm.json
lab_cello_D#2_ff,Cello,normale,D#2,,fortissimo,,67.478555,dimensionless,cello_ordinary_cdm.json
