sample_id,instr,playing_mode,sounding_note,dyn,acoustic_density,filename
cello_C2_pp,cello,ordinary,C2,pp,85.211722,cello_ordinary_cdm.json
cello_C2_mf,cello,ordinary,C2,mf,94.121938,cello_ordinary_cdm.json
cello_C2_ff,cello,ordinary,C2,ff,94.363449,cello_ordinary_cdm.json
cello_C#2_pp,cello,ordinary,C#2,pp,55.096953,cello_ordinary_cdm.json
cello_C#2_mf,cello,ordinary,C#2,mf,50.842621,cello_ordinary_cdm.json
cello_C#2_ff,cello,ordinary,C#2,ff,47.408278,cello_ordinary_cdm.json
cello_D2_pp,cello,ordinary,D2,pp,55.891434,cello_ordinary_cdm.json
cello_D2_mf,cello,ordinary,D2,mf,76.641317,cello_ordinary_cdm.json
cello_D2_ff,cello,ordinary,D2,ff,58.979722,cello_ordinary_cdm.json
cello_D#2_pp,cello,ordinary,D#2,pp,59.007753,cello_ordinary_cdm.json
cello_D#2_mf,cello,ordinary,D#2,mf,60.545674,cello_ordinary_cdm.json
cello_D#2_ff,cello,ordinary,D#2,ff,67.478555,cello_ordinary_cdm.json
cello_E2_pp,cello,ordinary,E2,pp,52.652053,cello_ordinary_cdm.json
cello_E2_mf,cello,ordinary,E2,mf,59.756817,cello_ordinary_cdm.json
cello_E2_ff,cello,ordinary,E2,ff,67.298153,cello_ordinary_cdm.json
cello_F2_pp,cello,ordinary,F2,pp,51.923068,cello_ordinary_cdm.json
cello_F2_mf,cello,ordinary,F2,mf,60.157379,cello_ordinary_cdm.json
cello_F2_ff,cello,ordinary,F2,ff,65.750277,cello_ordinary_cdm.json
cello_F#2_pp,cello,ordinary,F#2,pp,36.934954,cello_ordinary_cdm.json
cello_F#2_mf,cello,ordinary,F#2,mf,40.087178,cello_ordinary_cdm.json
cello_F#2_ff,cello,ordinary,F#2,ff,58.803479,cello_ordinary_cdm.json
cello_G2_pp,cello,ordinary,G2,pp,27.60166,cello_ordinary_cdm.json
cello_G2_mf,cello,ordinary,G2,mf,33.290125,cello_ordinary_cdm.json
cello_G2_ff,cello,ordinary,G2,ff,67.28835,cello_ordinary_cdm.json
cello_G#2_pp,cello,ordinary,G#2,pp,42.424188,cello_ordinary_cdm.json
cello_G#2_mf,cello,ordinary,G#2,mf,50.351052,cello_ordinary_cdm.json
cello_G#2_ff,cello,ordinary,G#2,ff,41.781194,cello_ordinary_cdm.json
cello_A2_pp,cello,ordinary,A2,pp,42.644833,cello_ordinary_cdm.json
cello_A2_mf,cello,ordinary,A2,mf,48.499903,cello_ordinary_cdm.json
cello_A2_ff,cello,ordinary,A2,ff,64.624187,cello_ordinary_cdm.json
cello_A#2_pp,cello,ordinary,A#2,pp,48.225637,cello_ordinary_cdm.json
cello_A#2_mf,cello,ordinary,A#2,mf,44.172545,cello_ordinary_cdm.json
cello_A#2_ff,cello,ordinary,A#2,ff,52.814275,cello_ordinary_cdm.json
cello_B2_pp,cello,ordinary,B2,pp,42.672957,cello_ordinary_cdm.json
cello_B2_mf,cello,ordinary,B2,mf,58.515681,cello_ordinary_cdm.json
cello_B2_ff,cello,ordinary,B2,ff,52.2415,cello_ordinary_cdm.json
cello_C3_pp,cello,ordinary,C3,pp,50.88049,cello_ordinary_cdm.json
cello_C3_mf,cello,ordinary,C3,mf,53.816033,cello_ordinary_cdm.json
cello_C3_ff,cello,ordinary,C3,ff,38.924197,cello_ordinary_cdm.json
cello_C#3_pp,cello,ordinary,C#3,pp,32.995011,cello_ordinary_cdm.json
cello_C#3_mf,cello,ordinary,C#3,mf,38.212609,cello_ordinary_cdm.json
cello_C#3_ff,cello,ordinary,C#3,ff,35.968299,cello_ordinary_cdm.json
cello_D3_pp,cello,ordinary,D3,pp,34.827484,cello_ordinary_cdm.json
cello_D3_mf,cello,ordinary,D3,mf,56.423952,cello_ordinary_cdm.json
cello_D3_ff,cello,ordinary,D3,ff,42.829798,cello_ordinary_cdm.json
cello_D#3_pp,cello,ordinary,D#3,pp,39.886908,cello_ordinary_cdm.json
cello_D#3_mf,cello,ordinary,D#3,mf,45.68589,cello_ordinary_cdm.json
cello_D#3_ff,cello,ordinary,D#3,ff,37.494232,cello_ordinary_cdm.json
cello_E3_pp,cello,ordinary,E3,pp,40.165556,cello_ordinary_cdm.json
cello_E3_mf,cello,ordinary,E3,mf,46.724359,cello_ordinary_cdm.json
cello_E3_ff,cello,ordinary,E3,ff,43.840521,cello_ordinary_cdm.json
cello_F3_pp,cello,ordinary,F3,pp,34.678492,cello_ordinary_cdm.json
cello_F3_mf,cello,ordinary,F3,mf,37.176906,cello_ordinary_cdm.json
cello_F3_ff,cello,ordinary,F3,ff,45.011641,cello_ordinary_cdm.json
cello_F#3_pp,cello,ordinary,F#3,pp,30.614076,cello_ordinary_cdm.json
cello_F#3_mf,cello,ordinary,F#3,mf,36.223706,cello_ordinary_cdm.json
cello_F#3_ff,cello,ordinary,F#3,ff,34.862301,cello_ordinary_cdm.json
cello_G3_pp,cello,ordinary,G3,pp,29.709319,cello_ordinary_cdm.json
cello_G3_mf,cello,ordinary,G3,mf,30.094833,cello_ordinary_cdm.json
cello_G3_ff,cello,ordinary,G3,ff,36.268506,cello_ordinary_cdm.json
cello_G#3_pp,cello,ordinary,G#3,pp,23.870021,cello_ordinary_cdm.json
cello_G#3_mf,cello,ordinary,G#3,mf,22.51414,cello_ordinary_cdm.json
cello_G#3_ff,cello,ordinary,G#3,ff,31.231981,cello_ordinary_cdm.json
cello_A3_pp,cello,ordinary,A3,pp,26.191951,cello_ordinary_cdm.json
cello_A3_mf,cello,ordinary,A3,mf,30.92539,cello_ordinary_cdm.json
cello_A3_ff,cello,ordinary,A3,ff,38.257905,cello_ordinary_cdm.json
cello_A#3_pp,cello,ordinary,A#3,pp,28.584675,cello_ordinary_cdm.json
cello_A#3_mf,cello,ordinary,A#3,mf,34.464421,cello_ordinary_cdm.json
cello_A#3_ff,cello,ordinary,A#3,ff,23.852713,cello_ordinary_cdm.json
cello_B3_pp,cello,ordinary,B3,pp,31.442666,cello_ordinary_cdm.json
cello_B3_mf,cello,ordinary,B3,mf,32.081912,cello_ordinary_cdm.json
cello_B3_ff,cello,ordinary,B3,ff,28.055217,cello_ordinary_cdm.json
cello_C4_pp,cello,ordinary,C4,pp,30.832175,cello_ordinary_cdm.json
cello_C4_mf,cello,ordinary,C4,mf,24.268547,cello_ordinary_cdm.json
cello_C4_ff,cello,ordinary,C4,ff,26.56787,cello_ordinary_cdm.json
cello_C#4_pp,cello,ordinary,C#4,pp,28.979309,cello_ordinary_cdm.json
cello_C#4_mf,cello,ordinary,C#4,mf,28.769633,cello_ordinary_cdm.json
cello_C#4_ff,cello,ordinary,C#4,ff,22.74247,cello_ordinary_cdm.json
cello_D4_pp,cello,ordinary,D4,pp,32.472012,cello_ordinary_cdm.json
cello_D4_mf,cello,ordinary,D4,mf,29.683975,cello_ordinary_cdm.json
cello_D4_ff,cello,ordinary,D4,ff,24.524551,cello_ordinary_cdm.json
cello_D#4_pp,cello,ordinary,D#4,pp,21.193923,cello_ordinary_cdm.json
cello_D#4_mf,cello,ordinary,D#4,mf,18.701271,cello_ordinary_cdm.json
cello_D#4_ff,cello,ordinary,D#4,ff,20.009407,cello_ordinary_cdm.json
cello_E4_pp,cello,ordinary,E4,pp,26.752416,cello_ordinary_cdm.json
cello_E4_mf,cello,ordinary,E4,mf,23.632525,cello_ordinary_cdm.json
cello_E4_ff,cello,ordinary,E4,ff,23.48939,cello_ordinary_cdm.json
cello_F4_pp,cello,ordinary,F4,pp,21.179177,cello_ordinary_cdm.json
cello_F4_mf,cello,ordinary,F4,mf,23.451573,cello_ordinary_cdm.json
cello_F4_ff,cello,ordinary,F4,ff,23.023424,cello_ordinary_cdm.json
cello_F#4_pp,cello,ordinary,F#4,pp,22.374843,cello_ordinary_cdm.json
cello_F#4_mf,cello,ordinary,F#4,mf,21.349686,cello_ordinary_cdm.json
cello_F#4_ff,cello,ordinary,F#4,ff,21.845358,cello_ordinary_cdm.json
