collection,instrument,technique,dynamic,note,path,ext,source_kind,label_raw
philharmonia,vlc,natural_harmonic,mf,A#4,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLONCELO\Phillarmonia\cello\violoncelo_harmonic\cello_A#4_long_mezzo-forte_arco-harmonic.mp3,.mp3,harmonic,arco-harmonic
philharmonia,vlc,natural_harmonic,mf,A#6,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLONCELO\Phillarmonia\cello\violoncelo_harmonic\cello_A#6_1_mezzo-forte_arco-harmonic.mp3,.mp3,harmonic,arco-harmonic
philharmonia,vlc,natural_harmonic,mf,A4,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLONCELO\Phillarmonia\cello\violoncelo_harmonic\cello_A4_1_mezzo-forte_arco-harmonic.mp3,.mp3,harmonic,arco-harmonic
philharmonia,vlc,natural_harmonic,mf,A5,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLONCELO\Phillarmonia\cello\violoncelo_harmonic\cello_A5_1_mezzo-forte_arco-harmonic.mp3,.mp3,harmonic,arco-harmonic
philharmonia,vlc,natural_harmonic,mf,C#6,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLONCELO\Phillarmonia\cello\violoncelo_harmonic\cello_C#6_1_mezzo-forte_arco-harmonic.mp3,.mp3,harmonic,arco-harmonic
philharmonia,vlc,natural_harmonic,mf,C4,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLONCELO\Phillarmonia\cello\violoncelo_harmonic\cello_C4_long_mezzo-forte_arco-harmonic.mp3,.mp3,harmonic,arco-harmonic
philharmonia,vlc,natural_harmonic,mf,C5,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLONCELO\Phillarmonia\cello\violoncelo_harmonic\cello_C5_1_mezzo-forte_arco-harmonic.mp3,.mp3,harmonic,arco-harmonic
philharmonia,vlc,natural_harmonic,mf,C7,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLONCELO\Phillarmonia\cello\violoncelo_harmonic\cello_C7_1_mezzo-forte_arco-harmonic.mp3,.mp3,harmonic,arco-harmonic
philharmonia,vlc,natural_harmonic,mf,D#6,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLONCELO\Phillarmonia\cello\violoncelo_harmonic\cello_D#6_1_mezzo-forte_arco-harmonic.mp3,.mp3,harmonic,arco-harmonic
philharmonia,vlc,natural_harmonic,mf,E4,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLONCELO\Phillarmonia\cello\violoncelo_harmonic\cello_E4_1_mezzo-forte_arco-harmonic.mp3,.mp3,harmonic,arco-harmonic
philharmonia,vlc,natural_harmonic,mf,E5,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLONCELO\Phillarmonia\cello\violoncelo_harmonic\cello_E5_1_mezzo-forte_arco-harmonic.mp3,.mp3,harmonic,arco-harmonic
philharmonia,vlc,natural_harmonic,mf,E6,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLONCELO\Phillarmonia\cello\violoncelo_harmonic\cello_E6_1_mezzo-forte_arco-harmonic.mp3,.mp3,harmonic,arco-harmonic
philharmonia,vlc,natural_harmonic,mf,F#4,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLONCELO\Phillarmonia\cello\violoncelo_harmonic\cello_F#4_1_mezzo-forte_arco-harmonic.mp3,.mp3,harmonic,arco-harmonic
philharmonia,vlc,natural_harmonic,mf,F4,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLONCELO\Phillarmonia\cello\violoncelo_harmonic\cello_F4_long_mezzo-forte_arco-harmonic.mp3,.mp3,harmonic,arco-harmonic
philharmonia,vlc,natural_harmonic,mf,F5,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLONCELO\Phillarmonia\cello\violoncelo_harmonic\cello_F5_1_mezzo-forte_arco-harmonic.mp3,.mp3,harmonic,arco-harmonic
philharmonia,vlc,natural_harmonic,mf,G#5,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLONCELO\Phillarmonia\cello\violoncelo_harmonic\cello_G#5_1_mezzo-forte_arco-harmonic.mp3,.mp3,harmonic,arco-harmonic
philharmonia,vlc,ordinario,f,A#2,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLONCELO\Phillarmonia\cello\violoncelo forte_arco-normal\violoncelo_forte_arco-normal15\cello_A#2_15_forte_arco-normal.mp3,.mp3,ordinario,arco-normal
philharmonia,vlc,ordinario,f,A#3,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLONCELO\Phillarmonia\cello\violoncelo forte_arco-normal\violoncelo_forte_arco-normal15\cello_A#3_15_forte_arco-normal.mp3,.mp3,ordinario,arco-normal
philharmonia,vlc,ordinario,f,A#4,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLONCELO\Phillarmonia\cello\violoncelo forte_arco-normal\violoncelo_forte_arco-normal15\cello_A#4_15_forte_arco-normal.mp3,.mp3,ordinario,arco-normal
philharmonia,vlc,ordinario,f,A#5,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLONCELO\Phillarmonia\cello\violoncelo forte_arco-normal\violoncelo_forte_arco-normal15\cello_A#5_15_forte_arco-normal.mp3,.mp3,ordinario,arco-normal
philharmonia,vlc,ordinario,f,A2,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLONCELO\Phillarmonia\cello\violoncelo forte_arco-normal\violoncelo_forte_arco-normal15\cello_A2_15_forte_arco-normal.mp3,.mp3,ordinario,arco-normal
philharmonia,vlc,ordinario,f,A3,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLONCELO\Phillarmonia\cello\violoncelo forte_arco-normal\violoncelo_forte_arco-normal15\cello_A3_15_forte_arco-normal.mp3,.mp3,ordinario,arco-normal
philharmonia,vlc,ordinario,f,A4,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLONCELO\Phillarmonia\cello\violoncelo forte_arco-normal\violoncelo_forte_arco-normal15\cello_A4_15_forte_arco-normal.mp3,.mp3,ordinario,arco-normal
philharmonia,vlc,ordinario,f,A5,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLONCELO\Phillarmonia\cello\violoncelo forte_arco-normal\violoncelo_forte_arco-normal15\cello_A5_15_forte_arco-normal.mp3,.mp3,ordinario,arco-normal
philharmonia,vlc,ordinario,f,B2,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLONCELO\Phillarmonia\cello\violoncelo forte_arco-normal\violoncelo_forte_arco-normal15\cello_B2_15_forte_arco-normal.mp3,.mp3,ordinario,arco-normal
