instrument,technique,dynamic,note,quantity,value,collection,ewsd_primary_analysis_eligible,source_workbook
vln,artificial_harmonic,mf,G#6,EWSD_score_acoustic_balanced,9.29082025306581,mcgill,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\mcgill_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,A6,EWSD_score_acoustic_balanced,12.00103121450082,mcgill,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\mcgill_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,A#6,EWSD_score_acoustic_balanced,6.956292467262874,mcgill,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\mcgill_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,B6,EWSD_score_acoustic_balanced,8.00047606753332,mcgill,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\mcgill_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,C7,EWSD_score_acoustic_balanced,8.594743152834543,mcgill,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\mcgill_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,C#7,EWSD_score_acoustic_balanced,8.139679411800909,mcgill,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\mcgill_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,D7,EWSD_score_acoustic_balanced,7.659047800354168,mcgill,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\mcgill_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,D#7,EWSD_score_acoustic_balanced,7.360473347834032,mcgill,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\mcgill_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,E7,EWSD_score_acoustic_balanced,6.500887770144491,mcgill,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\mcgill_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,F7,EWSD_score_acoustic_balanced,7.543400668482792,mcgill,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\mcgill_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,F#7,EWSD_score_acoustic_balanced,7.696186755543912,mcgill,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\mcgill_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,G7,EWSD_score_acoustic_balanced,5.266111864520634,mcgill,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\mcgill_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,G#7,EWSD_score_acoustic_balanced,6.675665045729716,mcgill,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\mcgill_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
