instrument,technique,dynamic,note,quantity,value,collection,ewsd_primary_analysis_eligible,source_workbook
vln,artificial_harmonic,mf,G5,EWSD_score_acoustic_balanced,43.37032812207521,orchidea,True,data\harmonic_calibration\ssa_outputs\orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,G#5,EWSD_score_acoustic_balanced,54.25322544874577,orchidea,True,data\harmonic_calibration\ssa_outputs\orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,A5,EWSD_score_acoustic_balanced,31.1412349186711,orchidea,True,data\harmonic_calibration\ssa_outputs\orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,A#5,EWSD_score_acoustic_balanced,22.40896921159774,orchidea,True,data\harmonic_calibration\ssa_outputs\orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,B5,EWSD_score_acoustic_balanced,39.03652173020803,orchidea,True,data\harmonic_calibration\ssa_outputs\orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,C6,EWSD_score_acoustic_balanced,35.65717279450181,orchidea,True,data\harmonic_calibration\ssa_outputs\orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,C#6,EWSD_score_acoustic_balanced,31.69758684461156,orchidea,True,data\harmonic_calibration\ssa_outputs\orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,D6,EWSD_score_acoustic_balanced,34.64845565499098,orchidea,True,data\harmonic_calibration\ssa_outputs\orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,D#6,EWSD_score_acoustic_balanced,35.08877888862872,orchidea,True,data\harmonic_calibration\ssa_outputs\orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,E6,EWSD_score_acoustic_balanced,38.01085259329624,orchidea,True,data\harmonic_calibration\ssa_outputs\orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,F6,EWSD_score_acoustic_balanced,19.54556588359437,orchidea,True,data\harmonic_calibration\ssa_outputs\orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,F#6,EWSD_score_acoustic_balanced,17.59088896461042,orchidea,True,data\harmonic_calibration\ssa_outputs\orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,G6,EWSD_score_acoustic_balanced,14.46273913847582,orchidea,True,data\harmonic_calibration\ssa_outputs\orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,G#6,EWSD_score_acoustic_balanced,16.78222183305747,orchidea,True,data\harmonic_calibration\ssa_outputs\orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,A6,EWSD_score_acoustic_balanced,21.47900691211739,orchidea,True,data\harmonic_calibration\ssa_outputs\orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,A#6,EWSD_score_acoustic_balanced,16.61150711432367,orchidea,True,data\harmonic_calibration\ssa_outputs\orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,B6,EWSD_score_acoustic_balanced,13.14552151823536,orchidea,True,data\harmonic_calibration\ssa_outputs\orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,C7,EWSD_score_acoustic_balanced,22.00472483288801,orchidea,True,data\harmonic_calibration\ssa_outputs\orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,C#7,EWSD_score_acoustic_balanced,19.03069260499176,orchidea,True,data\harmonic_calibration\ssa_outputs\orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,D7,EWSD_score_acoustic_balanced,19.55893580370689,orchidea,True,data\harmonic_calibration\ssa_outputs\orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,D#7,EWSD_score_acoustic_balanced,10.85879200352874,orchidea,True,data\harmonic_calibration\ssa_outputs\orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,E7,EWSD_score_acoustic_balanced,20.77622008541161,orchidea,True,data\harmonic_calibration\ssa_outputs\orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,F7,EWSD_score_acoustic_balanced,18.03247537962929,orchidea,True,data\harmonic_calibration\ssa_outputs\orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,F#7,EWSD_score_acoustic_balanced,20.03179041032191,orchidea,True,data\harmonic_calibration\ssa_outputs\orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,G7,EWSD_score_acoustic_balanced,20.82182041367358,orchidea,True,data\harmonic_calibration\ssa_outputs\orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,G#7,EWSD_score_acoustic_balanced,27.20032415370216,orchidea,True,data\harmonic_calibration\ssa_outputs\orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,A7,EWSD_score_acoustic_balanced,6.662027534003865,orchidea,True,data\harmonic_calibration\ssa_outputs\orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,A#7,EWSD_score_acoustic_balanced,6.075732848669497,orchidea,True,data\harmonic_calibration\ssa_outputs\orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vln,artificial_harmonic,mf,B7,EWSD_score_acoustic_balanced,7.987235476344532,orchidea,True,data\harmonic_calibration\ssa_outputs\orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
