instrument,technique,dynamic,note,quantity,value,collection,ewsd_primary_analysis_eligible,source_workbook
vln,natural_harmonic,mf,D5,EWSD_score_acoustic_balanced,19.24035399144807,philharmonia,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\philharmonia_natural_harmonic_mf_wav\compiled_density_metrics_research.xlsx
vln,natural_harmonic,mf,A5,EWSD_score_acoustic_balanced,17.89981141143359,philharmonia,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\philharmonia_natural_harmonic_mf_wav\compiled_density_metrics_research.xlsx
vln,natural_harmonic,mf,B5,EWSD_score_acoustic_balanced,31.44304879485069,philharmonia,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\philharmonia_natural_harmonic_mf_wav\compiled_density_metrics_research.xlsx
vln,natural_harmonic,mf,C6,EWSD_score_acoustic_balanced,14.0247611018533,philharmonia,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\philharmonia_natural_harmonic_mf_wav\compiled_density_metrics_research.xlsx
vln,natural_harmonic,mf,D6,EWSD_score_acoustic_balanced,21.37112455379628,philharmonia,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\philharmonia_natural_harmonic_mf_wav\compiled_density_metrics_research.xlsx
vln,natural_harmonic,mf,F#6,EWSD_score_acoustic_balanced,11.02743768163742,philharmonia,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\philharmonia_natural_harmonic_mf_wav\compiled_density_metrics_research.xlsx
vln,natural_harmonic,mf,D#7,EWSD_score_acoustic_balanced,7.307854730733266,philharmonia,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\philharmonia_natural_harmonic_mf_wav\compiled_density_metrics_research.xlsx
vln,natural_harmonic,mf,G7,EWSD_score_acoustic_balanced,13.31215612200666,philharmonia,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\philharmonia_natural_harmonic_mf_wav\compiled_density_metrics_research.xlsx
vln,natural_harmonic,mf,G#7,EWSD_score_acoustic_balanced,19.22725616492074,philharmonia,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\philharmonia_natural_harmonic_mf_wav\compiled_density_metrics_research.xlsx
vln,natural_harmonic,mf,C8,EWSD_score_acoustic_balanced,2.950660525534404,philharmonia,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\philharmonia_natural_harmonic_mf_wav\compiled_density_metrics_research.xlsx
vln,natural_harmonic,mf,E8,EWSD_score_acoustic_balanced,5.964495271907513,philharmonia,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\philharmonia_natural_harmonic_mf_wav\compiled_density_metrics_research.xlsx
