instrument,technique,dynamic,note,quantity,value,collection,ewsd_primary_analysis_eligible,source_workbook
vla,artificial_harmonic,mf,C5,EWSD_score_acoustic_balanced,17.80480733109626,mcgill,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\viola_mcgill_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vla,artificial_harmonic,mf,C#5,EWSD_score_acoustic_balanced,24.80053285861816,mcgill,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\viola_mcgill_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vla,artificial_harmonic,mf,D5,EWSD_score_acoustic_balanced,19.58291904904148,mcgill,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\viola_mcgill_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vla,artificial_harmonic,mf,D#5,EWSD_score_acoustic_balanced,25.72622872984002,mcgill,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\viola_mcgill_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vla,artificial_harmonic,mf,E5,EWSD_score_acoustic_balanced,25.63957116003344,mcgill,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\viola_mcgill_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vla,artificial_harmonic,mf,F5,EWSD_score_acoustic_balanced,15.43290199501694,mcgill,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\viola_mcgill_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vla,artificial_harmonic,mf,F#5,EWSD_score_acoustic_balanced,20.49636184846323,mcgill,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\viola_mcgill_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vla,artificial_harmonic,mf,G5,EWSD_score_acoustic_balanced,40.73722481770562,mcgill,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\viola_mcgill_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vla,artificial_harmonic,mf,G#5,EWSD_score_acoustic_balanced,36.84133570755831,mcgill,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\viola_mcgill_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vla,artificial_harmonic,mf,A5,EWSD_score_acoustic_balanced,20.95750193752534,mcgill,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\viola_mcgill_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vla,artificial_harmonic,mf,A#5,EWSD_score_acoustic_balanced,22.4830140139274,mcgill,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\viola_mcgill_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vla,artificial_harmonic,mf,B5,EWSD_score_acoustic_balanced,15.81225132774119,mcgill,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\viola_mcgill_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vla,artificial_harmonic,mf,C6,EWSD_score_acoustic_balanced,23.00435311043263,mcgill,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\viola_mcgill_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
