instrument,technique,dynamic,note,quantity,value,collection,ewsd_primary_analysis_eligible,source_workbook
vla,artificial_harmonic,mf,C5,EWSD_score_acoustic_balanced,53.07642896565683,orchidea,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\viola_orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vla,artificial_harmonic,mf,C#5,EWSD_score_acoustic_balanced,51.91255460943228,orchidea,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\viola_orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vla,artificial_harmonic,mf,D5,EWSD_score_acoustic_balanced,42.02098704975229,orchidea,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\viola_orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vla,artificial_harmonic,mf,D#5,EWSD_score_acoustic_balanced,38.28971976148856,orchidea,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\viola_orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vla,artificial_harmonic,mf,E5,EWSD_score_acoustic_balanced,28.44096635888963,orchidea,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\viola_orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vla,artificial_harmonic,mf,F5,EWSD_score_acoustic_balanced,31.38276036175454,orchidea,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\viola_orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vla,artificial_harmonic,mf,F#5,EWSD_score_acoustic_balanced,33.12617476552912,orchidea,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\viola_orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vla,artificial_harmonic,mf,G5,EWSD_score_acoustic_balanced,37.98286645769853,orchidea,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\viola_orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vla,artificial_harmonic,mf,G#5,EWSD_score_acoustic_balanced,46.41732182940875,orchidea,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\viola_orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
vla,artificial_harmonic,mf,A5,EWSD_score_acoustic_balanced,43.84334296163549,orchidea,True,E:\PYTHON CODES\CÓDIGOS FINAIS - GIT HUB\Strings_Techniques_Extrapolation\data\harmonic_calibration\ssa_outputs\viola_orchidea_artificial_harmonic_mf\compiled_density_metrics_research.xlsx
