collection,instrument,technique,dynamic,note,path,ext,source_kind
philharmonia,vla,artificial_harmonic,mf,A#5,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLA\Phillarmonia\viola\viola_harmonics\viola_long_mezzo-forte_artificial-harmonic\viola_A#5_long_mezzo-forte_artificial-harmonic.mp3,.mp3,harmonic
philharmonia,vla,artificial_harmonic,mf,A5,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLA\Phillarmonia\viola\viola_harmonics\viola_long_mezzo-forte_artificial-harmonic\viola_A5_long_mezzo-forte_artificial-harmonic.mp3,.mp3,harmonic
philharmonia,vla,artificial_harmonic,mf,A6,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLA\Phillarmonia\viola\viola_harmonics\viola_long_mezzo-forte_artificial-harmonic\viola_A6_long_mezzo-forte_artificial-harmonic.mp3,.mp3,harmonic
philharmonia,vla,artificial_harmonic,mf,B5,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLA\Phillarmonia\viola\viola_harmonics\viola_long_mezzo-forte_artificial-harmonic\viola_B5_long_mezzo-forte_artificial-harmonic.mp3,.mp3,harmonic
philharmonia,vla,artificial_harmonic,mf,C#5,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLA\Phillarmonia\viola\viola_harmonics\viola_long_mezzo-forte_artificial-harmonic\viola_C#5_long_mezzo-forte_artificial-harmonic.mp3,.mp3,harmonic
philharmonia,vla,artificial_harmonic,mf,C5,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLA\Phillarmonia\viola\viola_harmonics\viola_long_mezzo-forte_artificial-harmonic\viola_C5_long_mezzo-forte_artificial-harmonic.mp3,.mp3,harmonic
philharmonia,vla,artificial_harmonic,mf,C6,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLA\Phillarmonia\viola\viola_harmonics\viola_long_mezzo-forte_artificial-harmonic\viola_C6_long_mezzo-forte_artificial-harmonic.mp3,.mp3,harmonic
philharmonia,vla,artificial_harmonic,mf,D#5,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLA\Phillarmonia\viola\viola_harmonics\viola_long_mezzo-forte_artificial-harmonic\viola_D#5_long_mezzo-forte_artificial-harmonic.mp3,.mp3,harmonic
philharmonia,vla,artificial_harmonic,mf,D#6,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLA\Phillarmonia\viola\viola_harmonics\viola_long_mezzo-forte_artificial-harmonic\viola_D#6_long_mezzo-forte_artificial-harmonic.mp3,.mp3,harmonic
philharmonia,vla,artificial_harmonic,mf,D#7,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLA\Phillarmonia\viola\viola_harmonics\viola_long_mezzo-forte_artificial-harmonic\viola_D#7_long_mezzo-forte_artificial-harmonic.mp3,.mp3,harmonic
philharmonia,vla,artificial_harmonic,mf,E6,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLA\Phillarmonia\viola\viola_harmonics\viola_long_mezzo-forte_artificial-harmonic\viola_E6_long_mezzo-forte_artificial-harmonic.mp3,.mp3,harmonic
philharmonia,vla,artificial_harmonic,mf,E7,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLA\Phillarmonia\viola\viola_harmonics\viola_long_mezzo-forte_artificial-harmonic\viola_E7_long_mezzo-forte_artificial-harmonic.mp3,.mp3,harmonic
philharmonia,vla,artificial_harmonic,mf,F#5,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLA\Phillarmonia\viola\viola_harmonics\viola_long_mezzo-forte_artificial-harmonic\viola_F#5_long_mezzo-forte_artificial-harmonic.mp3,.mp3,harmonic
philharmonia,vla,artificial_harmonic,mf,F#7,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLA\Phillarmonia\viola\viola_harmonics\viola_long_mezzo-forte_artificial-harmonic\viola_F#7_long_mezzo-forte_artificial-harmonic.mp3,.mp3,harmonic
philharmonia,vla,artificial_harmonic,mf,F6,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLA\Phillarmonia\viola\viola_harmonics\viola_long_mezzo-forte_artificial-harmonic\viola_F6_long_mezzo-forte_artificial-harmonic.mp3,.mp3,harmonic
philharmonia,vla,artificial_harmonic,mf,G5,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLA\Phillarmonia\viola\viola_harmonics\viola_long_mezzo-forte_artificial-harmonic\viola_G5_long_mezzo-forte_artificial-harmonic.mp3,.mp3,harmonic
philharmonia,vla,natural_harmonic,mf,A#5,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLA\Phillarmonia\viola\viola_harmonics\viola_mezzo-forte_natural-harmonic\viola_A#5_long_mezzo-forte_natural-harmonic.mp3,.mp3,harmonic
philharmonia,vla,natural_harmonic,mf,A5,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLA\Phillarmonia\viola\viola_harmonics\viola_mezzo-forte_natural-harmonic\viola_A5_long_mezzo-forte_natural-harmonic.mp3,.mp3,harmonic
