collection,technique,dynamic,note,path,ext,source_kind
philharmonia,artificial_harmonic,mf,A#5,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLINO\Phillarmonia\violin\Vln_Harmónicos\Vln_mezzo-forte_harmonic\violin_A#5_1_mezzo-forte_artificial-harmonic.mp3,.mp3,harmonic
philharmonia,artificial_harmonic,mf,A#6,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLINO\Phillarmonia\violin\Vln_Harmónicos\Vln_mezzo-forte_harmonic\violin_A#6_1_mezzo-forte_artificial-harmonic.mp3,.mp3,harmonic
philharmonia,artificial_harmonic,mf,A#7,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLINO\Phillarmonia\violin\Vln_Harmónicos\Vln_mezzo-forte_harmonic\violin_A#7_1_mezzo-forte_artificial-harmonic.mp3,.mp3,harmonic
philharmonia,natural_harmonic,mf,A5,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLINO\Phillarmonia\violin\Vln_Harmónicos\Vln_mezzo-forte_harmonic\violin_A5_1_mezzo-forte_natural-harmonic.mp3,.mp3,harmonic
philharmonia,artificial_harmonic,mf,A6,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLINO\Phillarmonia\violin\Vln_Harmónicos\Vln_mezzo-forte_harmonic\violin_A6_1_mezzo-forte_artificial-harmonic.mp3,.mp3,harmonic
philharmonia,artificial_harmonic,mf,A7,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLINO\Phillarmonia\violin\Vln_Harmónicos\Vln_mezzo-forte_harmonic\violin_A7_1_mezzo-forte_artificial-harmonic.mp3,.mp3,harmonic
philharmonia,natural_harmonic,mf,B5,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLINO\Phillarmonia\violin\Vln_Harmónicos\Vln_mezzo-forte_harmonic\violin_B5_1_mezzo-forte_natural-harmonic.mp3,.mp3,harmonic
philharmonia,artificial_harmonic,mf,B6,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLINO\Phillarmonia\violin\Vln_Harmónicos\Vln_mezzo-forte_harmonic\violin_B6_1_mezzo-forte_artificial-harmonic.mp3,.mp3,harmonic
philharmonia,artificial_harmonic,mf,B7,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLINO\Phillarmonia\violin\Vln_Harmónicos\Vln_mezzo-forte_harmonic\violin_B7_1_mezzo-forte_artificial-harmonic.mp3,.mp3,harmonic
philharmonia,artificial_harmonic,mf,C#5,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLINO\Phillarmonia\violin\Vln_Harmónicos\Vln_mezzo-forte_harmonic\violin_C#5_1_mezzo-forte_artificial-harmonic.mp3,.mp3,harmonic
philharmonia,artificial_harmonic,mf,C#6,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLINO\Phillarmonia\violin\Vln_Harmónicos\Vln_mezzo-forte_harmonic\violin_C#6_1_mezzo-forte_artificial-harmonic.mp3,.mp3,harmonic
philharmonia,artificial_harmonic,mf,C#7,F:\DOUTORAMENTO_22\INSTRUMENTOS\Instrumentos_espectro_versão 3\CORDAS\VIOLINO\Phillarmonia\violin\Vln_Harmónicos\Vln_mezzo-forte_harmonic\violin_C#7_1_mezzo-forte_artificial-harmonic.mp3,.mp3,harmonic
